name,description
DISEASE-MODIFYING AGENTS USED IN RHEUMATOID DISORDERS (DMARDS),(DMARDs) are a class of medications used to treat inflammatory types of arthritis/ such as rheumatoid arthritis.
COUNTERIRRITANTS,A counterirritant is a substance which creates irritation or mild inflammation in one location with the goal of lessening discomfort and/or inflammation in another location.
ANTIFUNGALS,A drug that limits or prevents the growth of yeasts and other fungal organisms.
ANTILEPROSY/ANTITUBERCULOSIS DRUGS,A Leprostatic agent is a drug that interferes with proliferation of the bacterium that causes leprosy and Antituberculosis drugs are medicines used to treat tuberculosis.
MUSCLE RELAXANTS,A muscle relaxant is a drug which affects skeletal muscle function and decreases the muscle tone. It may be used to alleviate symptoms such as muscle spasms.
ACID–BASE IMBALANCE,Acidâ€“base imbalance is an abnormality of the human body's normal balance of acids and bases that causes the plasma pH to deviate out of the normal range (7.35 to 7.45).
ADRENERGIC DRUGS,Adrenergic drugs stimulate the nerves in your body's sympathetic nervous system (SNS).
ANTIFOAMING DRUGS,Agents used to prevent the formation of foam or to treat flatulence or bloat.
ALDOSTERONE RECEPTOR ANTAGONISTS,Aldosterone receptor Antagonists are a class of drugs used for the treatment of high blood pressure or heart failure by blocking the effects of aldosterone.
AMINOSALICYLATES,Aminosalicylates are group of medications that is often used to treat ulcerative colitis and Crohn's disease.
ANTIVIRAL DRUGS,An agent that kills a virus or that suppresses its ability to replicate.
ANTIDOTES,An agent that neutralizes a poison or counteracts its clinical or physiologic effects.An antidote may be mechanical.
ANTISPASMODIC DRUGS,An antispasmodic (synonym: spasmolytic) is a drug or an herb that suppresses muscle spasms.
ANAESTHETICS AND THEATRE DRUGS,Anaesthetics is drug that temporarily depresses neuronal function.
ANALGESICS AND ANTI INFLAMMATORY DRUGS,Analgesics is a class of drugs that are designed to relieve pain without causing loss of consciousness. Anti-inflammatory drug is a type of medicine that treats swelling and redness.
ANTACIDS,Antacids are agents that neutralize the gastric acid and raise the gastric pH
ANTIHELMINTIC DRUGS,Anthelmintics are drugs that are used to treat infections with parasitic worms.
ANTIANAEMIC DRUGS,Antianemia drugs are therapeutic agents which increase either the number of red cells or the amount of hemoglobin in the blood.
ANTIARRHYTHMICS DRUGS,Antiarrhythmic agents are a group of pharmaceuticals that are used to suppress abnormal rhythms of the heart (cardiac arrhythmias).
ANTIBACTERIAL DRUGS ,Antibacterials/ are medications that destroy or slow down the growth of bacteria.
ANTIBIOTICS,Antibiotics are used for treatment or prevention of bacterial infection.
